,narrative,Product
829641,"I mailed a Multip le Inquiry Removal Letter o n  XXXX   XXXX  by certified mail to dispute information, in regards to the hard inquiries that was being reported on my credit report. They received the letter  XXXX   XXXX ,  XXXX  and they completed the request on  XXXX   XXXX ,  XXXX . The request that I submitted included hard inquiries that were not factual and I received the same response for all the inquires, which was "" inquires are a factual record of file access. If you believe this was unauthorized, please contact the creditor. '' According to the FCRA rules, FCR A 623 ( b ) ( 2 ) and 611 ( a ) ( 1 ), it  states that any information can be disputed and MUST be investigated and it you do not investigate AND respond, FCRA must must delete the disputed information from its files. The fact that I received a response less than a week after the receipt of the certified letter, one can assume that there was no investigation into the matter. I plan to purchase a home this year and having this many hard inquires on my credit report display a sign of financial trouble, when it is not in this case. I am submitting my complaint due to the lack if investigation into my original dispute for hard inquires that does not belong to me. I did not sign for anything. This is unfair practices by a credit reporting agency with no concern for the credit worthiness of a consumer.     The following credit inquiries are related to none of the aforementioned permissible  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Credit Unions   XXXX   XXXX    XXXX   XXXX ,  XXXX  Auto Financing   XXXX     XXXX    XXXX    XXXX ,  XXXX  Miscellaneous  XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing   XXXX     XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing   XXXX   XXXX   XXXX    XXXX   XXXX   XXXX ,  XXXX  All Banks  XXXX   XXXX    XXXX    XXXX   XXXX   XXXX ,  XXXX  All Banks   XXXX   XXXX   XXXX    XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing   XXXX    XXXX   XXXX ,  XXXX   National Credit Card Cos.       XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Automobile Dealers, New  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Automobile Dealers, New  XXXX   XXXX   XXXX ,  XXXX  Miscellaneous Reptg. Agencies  XXXX   XXXX   XXXX ,  XXXX   XXXX   XXXX   Miscellaneous Reptg.  Agencies   XXXX   XXXX   XXXX    XXXX   XXXX   XXXX ,  XXXX  All Banks  XXXX   XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  All Banks  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Automobile Dealers, New  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Miscellaneous  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Automobile Dealers, New   XXXX   XXXX   XXXX    XXXX   XXXX ,  XXXX  Auto Financing   XXXX   XXXX   XXXX   XXXX    XXXX   XXXX ,  XXXX  Automobile Dealers, New  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX ,  XXXX  Auto Financing   XXXX   XXXX   XXXX    XXXX   XXXX ,  XXXX  Miscellaneous Reptg. Agencies  XXXX   XXXX   XXXX   XXXX ,  XXXX   Personal Loans Cos.       XXXX   XXXX   XXXX   XXXX ,  XXXX   Personal Loans Cos.       XXXX   XXXX   XXXX   XXXX ,  XXXX   Personal Loans Cos.       XXXX   XXXX   XXXX   XXXX ,  XXXX  Automobile Dealers, Old  XXXX   XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Auto Financing  XXXX   XXXX   XXXX   XXXX ,  XXXX  Finance   XXXX    XXXX   XXXX   XXXX ,  XXXX   XXXX .      XXXX   XXXX   XXXX   XXXX ,  XXXX  Bank  XXXX   XXXX   XXXX   XXXX ,  XXXX  Bank  XXXX   XXXX   XXXX ,  XXXX  Finance  XXXX   XXXX   XXXX ,  XXXX  Finance  XXXX   XXXX   XXXX ,  XXXX  Finance   XXXX    XXXX   XXXX ,  XXXX  Finance  XXXX   XXXX   XXXX ,  XXXX  Finance  XXXX   XXXX   XXXX ,  XXXX  Finance  XXXX   XXXX   XXXX ,  XXXX  Misc.      XXXX   XXXX   XXXX ,  XXXX  Misc.      XXXX   XXXX   XXXX   XXXX ,  XXXX  Automotive  XXXX   XXXX   XXXX ,  XXXX  Finance   XXXX   XXXX     XXXX   XXXX ,  XXXX  Finance   XXXX   XXXX    XXXX   XXXX ,  XXXX  Finance   XXXX   XXXX    XXXX   XXXX ,  XXXX  Finance  XXXX   XXXX   XXXX    XXXX    XXXX   XXXX ,  XXXX  Bank  XXXX   XXXX   XXXX   XXXX ,  XXXX  Misc.      XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Bank  XXXX   XXXX   XXXX   XXXX ,  XXXX  Finance  XXXX    XXXX    XXXX   XXXX ,  XXXX  Finance   XXXX    XXXX   XXXX ,  XXXX   XXXX   XXXX   XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX   XXXX .      XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Bank  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Bank  XXXX   XXXX   XXXX   XXXX   XXXX ,  XXXX  Bank","Credit reporting, credit repair services, or other personal consumer reports"
534510,"AURORA LOAN SERVICE SOLD ME A PREDATORY HOME LOAN AND THE FOLKS IN A CLASS ACTION SUIT HELD IN MINNESOTA DECLARED THEM GUILTY ; SENT ME A NOTICE STATING SO WITH A {$600.00} CHECK FOR COMPENSATION. 
THEN THEY HAND IT OFF TO NATIONSTAR AFTER BEING ADJUDICATED FOR THEIR CRIME. PLEASE FIX THESE ERRORS AGAINST MY CREDIT. I LOST MY INHERITANCE MONEY TO THESE CROOKS. SHAMEFUL, XXXX.",Mortgage
361337,"Capital One. They sold the account some XXXX times over and was paid through my taxes. Each time they update it per your law that states Federal Law FCRA 623 ( a ) ( 5 ) cb ( iii ) Pursuant to CA law they are going beyond the statue of limitations as well ( full disclosure act XXXX ( 3 yr statue of limitation. This is year 7 It is listed as Capital One sold to XXXX XXXX another new date of XXXX was taken off on XXXX and then finally sold a XXXX time to XXXX and started a new date of XXXX. They have yet sold it again to a company out in XXXX, CA All of this is illegal and they are not following federal laws.",Debt collection
949621,"XXXX XXXX, XXXX XXXX XXXX U.S. Bank Prepaid Operations Card Services XXXX XXXX XXXX XXXX XXXX. 
XXXX, MN XXXX Dear XXXX XXXX : I am writing you in regard to yet another complaint I have filed with the Consumer Financial Protection Bureau ( CFPB ), Complaint ID XXXX. I filed this complaint because yet again the 1-2-3 Rewards Card decided to make up another restriction as reason to not release a transaction from XXXX XXXX, XXXX. It was another hold on my account, this time for $ XXXXand it was immediately released the morning of XXXX XXXX, XXXX upon checkout. In your response to my complaint ID XXXX from XXXX XXXX, XXXX you mention that a way to expedite the release I have the option of sending in a fax with the answers to the questions required in said fax. Most importantly, however, you fail to mention that there is a restriction to this kind of procedurein that only one is allowed every 30 days. This restriction is not mentioned anywhere in your cardholder agreement. The supervisor I spoke with yesterday agreed that this was the case and apologized for this, but failed to release my funds. I believe that my funds should be immediately released back to my account since this restriction is not listed anywhere in my cardholder agreement or was mentioned by you in your letter to me and any customer service representative I have spoken with when I used this procedure for my first transaction. What you are doing is illegal. And I will be taking legal action against this. Thank you, XXXX XXXX I UNDERSTAND THE COMPANYS RESPONSE TO MY COMPLAINT",Credit card or prepaid card
945260,"NCC Business Services , Inc . 
XXXX XXXX XXXX, XXXX XXXX XXXX, FL XXXX Toll Free Fax ( XXXX ) XXXX ( XXXX ) XXXX I received a notice from XXXX on XX/XX/XXXX. NCC is actively seeking to collect a debt of XXXX dollars placed by a manager of XXXX XXXX XXXX XXXX/XXXX against me. However, I have called the manager and found out this debt is a mistake on the managers side. In other words, the debt of XXXX dollars is invalid. The attached email discussion is the written proof that this debt is invalid and the manager did request NCC Business Services , Inc. to remove the account of collection on XX/XX/XXXX. Such request of the manager is the manager 's second attempt to contact NCC and correct the mistake. In addition, I also disputed the validity of the debt via mail and fax on XX/XX/XXXX. In the certified mail and faxed materials, I attached the same proof to establish that the debt is invalid. 

However, I received another mail against my dispute from NCC on XX/XX/XXXX. It is obvious that as of XX/XX/XXXX, NCC is still actively seeking to collect this false debt of XXXX dollars which was mistakenly placed under my name, in spite of the original creditors and my efforts to correct the mistake. The enclosed information NCC sent in that mail was both outdated and probably from the managers initial mistake without any reflection of the original creditors and my efforts to correct the mistake.",Debt collection
610733,"Three times in the last two months I sent Equifax a copy of my drivers license, power bill, as requested. I got a form letter telling me I received my free report from them in the last year, and to purchase my credit file with a credit card. NO I HAVE NOT RECEIVED MY FREE REPORT FROM THEM SINCE XX/XX/XXXX Repeatedly I respond with the same information to no avail. I am entitled to my report and I want it - NOW. They do not give any way to contact them online without answering the same information over and over. My paperwork was lost in Tropical storm XX/XX/XXXX so I do n't know all the answers to their questions anymore. If they bothered to read my letters they would see why I need my report. All they want is to pressure people who need their reports into paying for them. This happened since XX/XX/XXXX but I did not take time to report them. Attached are copies of previous letter and material sent pay stub, birth certificate and more showing my address and who I am when requesting my free annual credit report",Credit reporting
377262,"To Whom It May Concern : I am concerned about the current amount of my student loan payments. I have XXXX distinct sets of students, XXXX from private providers ( XXXX and Discover ) and XXXX consolidated batch from the US Dept of Education. Here 's the breakdown : Monthly PaymentsCitibank : $ XXXXXXXXDiscover : $ XXXXXXXXUS Dept of Education XXXX : $ XXXXXXXXTotal : {$1300.00} ( monthly ) Total Loan DebtXXXX Sub Consolidation Loan : $ XXXX Unsub Consolidation Loan : $ XXXXXXXXDiscover : $ XXXX : $ XXXXXXXXTOTAL LOAN DEBT : $ XXXXXXXXI earn approximately {$XXXX} per month at my full-time job. This means that I am currently utilizing nearly 30 % of my monthly income on student loan repayment. This is an incredible burden that I will not be able to sustain for long. I work at a XXXX, so I hope to take advantage of the Public Service Loan Forgiveness Program. That said, I need relief in the near term to even be able to afford regular monthly payments. Please advise. 

Thank you, XXXX XXXX",Student loan
427528,"My husband and I purchased a home in XX/XX/XXXX that accommodated his XXXX as a result of two unsuccessful XXXX. Since I took a temporary family leave from my job, I was not on the loan with Wells Fargo, due to no income ; only my husband 's pension and social security were used to qualify. The downpayment of {$110000.00} did come from my XXXX. For the next two and half years, XXXX and in XXXX XXXX, my husband was XXXX and died in XXXX XXXX. For the past two months, I have been trying to communicate with Wells Fargo, both in person at a branch and by the customer service number. On several occasions, I have been given wrong information, told to send documentation ( attached to this complaint ) of his death certificate, copy of his will, completion of probate, etc. I explained that I am now 100 % owner due to joint tenants with right of survivorship, although it was also referenced in the will. Wells Fargo still refuses to allow me to discuss the loan, only the executor of the will, although I have been the one making the payments. They have made errors in applying early payments, showing as principal reduction. ( I purposely made payments to get ahead and cover the next three months XXXX. I have ask that the loan be placed in my name and under my social security number, but each time I am told I must qualify for the loan ( I just returned to work ) and pay an assumption fee of 1 %. Since I previously was in mortgage banking for 29 years, I told them they were incorrect, due to my circumstance. I was then told by the clerk that due to the Dodd-Frank Act, everyone must prove the ability to pay. I told her I just went back to work XXXX, did not qualify ; she told me to call back in a couple of years or better yet, just pay them off. Frustrated, I checked your website and found that the CFPB does not require the lender to qualify a person when it pertains to inheritance, divorce, etc. ( as I already knew XXXX. I tried called two more times, and got the same response from other individuals, although the last woman said they could speak to me only if the executor gave them permission. I explained that the probate was already complete and the paperwork had been provided to them. Clearly, I am getting nowhere but continue to provide more and more information. 
All I want to do is have the loan showing me as being responsible ( it is NOT owned by the estate ), be reported under my social security number ( not my husband 's number that now shows as being retired due to death ) and be able to speak with them to correct errors. 
Please help!",Mortgage
356220,"Ocwen has for a XXXX time in two years backdated and failed to deliver our Loan Modification documents. Even after the Consumer Financial Protection Bureau has acknowledged and is currently making Ocwen Properly modify these loans. Ocwen has failed to obey the law a XXXX time in its poor, misleading and deceptive handling of this modification and in total violation of the premise of the complaint they are trying to rectify. 
These are unfair, deceptive, illegal, predatory business practices that Ocwen and now its attorneys at XXXX, XXXX, XXXX XXXX XXXX, XXXX. have committed. 
We had a court ordered modification in the XXXX XXXX XXXX XXXX for XXXX XXXX, Florida with Ocwen Finanancial Corporation on XXXX/XXXX/XXXX. We sent Ocwen all the paper work they required. On XXXX/XXXX/XXXX Ocwen sent a letter acknowledging receipt of our loss mitigation application and stated they needed to obtain an updated fair market value for my property. Then Ocwen had the property appraised. Ocwen then mailed us a copy of the appraised Value. On XXXX/XXXX/XXXX they sent a letter thanking us for submitting our application. On XXXX/XXXX/XXXX Ocwen sent a letter acknowledging the receipt of the complete application and stated that we had provided all the documentation needed to evaluate our loan modification. "" At this, time your application is complete. You have provided all the documentation needed to evaluate your loan for each modification option or other foreclosure alternative solution for which you are eligible. We will process your request as quickly as possible. "" ( Ocwen ) The next Letter we receive on XXXX/XXXX/XXXX Ocwen states the they are unable to offer us a modification because, ; '' You failed to make the Initial trial payment within the required timeframe. "". Now after all of this contact from Ocwen they failed to provide us with any information in regard to any approval of our modification. Never sent a letter, and email, or made a phone call to my cell. 
Failed to contact me within 30-45 days of my approval, which is evident by the letter dated XXXX/XXXX/XXXX stating we failed to make a payment we were never informed of or offered a reasonable chance of making. We never received a payment schedule, approval letter to sign, or even a payment booklet. When I contacted Ocwen about never providing me with any documentation of any approval they ignored the flagrant violation of our consumer rights said they would fix the mistake and allow me to make XXXX trial payment and the problem would be solved. That was 90 days ago and i have not herd back after countless phone calls and emails. Ocwens XXXX number says that my next payment is {$720.00} due XXXX XXXX, XXXX. This is part of Ocwen 's back dating of loan modifications scandal of XXXX. 
Ocwen needs to honor the court ordered modification which they approved and failed to provide me with any documentation of now for a second time. Approval letter, Consent Documents, Payment Schedule, Payment Booklet. How could we possibly make a payment we were never informed of. This is after at least XXXX contacts by Ocwen and not XXXX relating to payments. This is part of Ocwen 's back dating of modification letter 's scandal of XXXX all over again in XXXX. Its extemely unusual that Ocwen ca n't deliver the XXXX a XXXX loan modificatio agreement XXXX now in two years. Instead only recieve and email from XXXX XXXX XXXX, XXXX. on XXXX/XXXX/XXXX a month after the modification letter was dated. The terms have to be realistic principle and interest on {$360000.00} is closer to {$2000.00} a month at 2 % not the {$4000.00} Ocwen wants us to pay. XXXX reasonable and customary payments of roughly {$2000.00} payed to an escrow account to the investor on the loan rather than Ocwen a debt collector stealing and not reporting the payment as is the customary practice at Ocwen. We would like to resolve this matter in a reasonable manner.",Mortgage
873906,"I am writing to submit a complaint against PNC Bank for unfair overdraft fees. First, I will begin by stating that I never officially "" opted in '' for PNC cover any overdraft on my account. With this being the case, they should not have paid the charge when posted to my account. On XXXX XXXX, 2017 I left for a 7-day vacation out of the country and was not aware that a charge posted to my account that same day, causing the account to become overdrawn by {$9.00}. It was not until I returned home from vacation late in the evening of XX/XX/XXXX, that I learned that my account had been overdrawn and an overdraft fee of {$36.00} was assessed along with several daily fees of {$7.00} ( per day ). I attempted to contact PNC that very evening, but could not reach a live representative, as their offices were closed. On Saturday, XX/XX/XXXXI again placed a call to explain my extenuating circumstances and request a fee reversal. I was told at that time someone from the Escalation Department would have to get back to me on Monday. I agreed and provided my contact information, despite my concerns of compounding fees over the weekend. I received a return call late in the afternoon on Monday, XX/XX/XXXXwhereby the manager ( insert name ) informed me that the fees could not be reversed. This was abruptly communicated without regard to the fact that I am a long-standing customer of PNC and have my mortgage as well as a checking account through them. After speaking with said manager, I decided to call PNC once more to make another attempt. Surely they could make an exception given the minimal amount the account was overdrawn, outrageous fees now being assessed and the fact that this was a rare occurrence. I was again denied any leniency. On Tuesday, XX/XX/XXXX, I decided to go to my local branch at XXXX XXXX to speak with the Branch Manager ( XXXX XXXX ) to see if there was anything he could do on his end. After spending close to an hour at the branch, XXXX had a banking associate XXXX craft an email to the regional manager to see if something could be done. XXXX  assured me that he would get back to me with an update by close of business. I did not hear back from him that day, nor the following ( Wed ). MORE FEES ASSESSED! On the morning of Thursday,XX/XX/XXXX, I placed a follow-up call to speak to XXXX and was told he would not be in the office until XXXX XXXX. I left my phone number along with a request for him to call me back. As it neared XXXX XXXX and I did not receive a return call, I decided to contact the branch once more. Someone answered, I requested to speak to XXXX and was placed on hold for 29 minutes. I hung up and immidiately called the branch back and was again placed on hold. It was during which time that I coincidentally received an email from XXXX. XXXX then answers the phone and apologizes. After voicing my frustrations, XXXX assures me that he would place a follow-up with the regional manager and get back to me on Friday, XX/XX/XXXX. I sit writing this letter and it is XXXX XXXX ( EDT ) and I have yet to hear from XXXX. The branch closes at what I believe to be XXXX XXXX. So now an entire week has passed, all the while I am given the run around and continuing to incur fees off of a {$9.00} overdraft that I DID NOT AUTHORIZE PNC TO PAY. This is unfair and downright fraudulent practices and I am appalled at this point. Anything you can do to aid in rectifying would be greatly appreciated. Thank you! XXXX XXXX XXXX  XXXX",Checking or savings account
986525,"These hard inquires that were not authorized by me and need to be Immediately removed. I have contacted Experian by phone and sent numerous disputes regarding this inquires. Experian refuses to delete these unauthorized inquires off of my credit report. These unauthorized inquiries are keeping me from obtaining credit. My report contains credit inquiries that I never authorized. I request that the following inquiries be deleted immediately : XXXXXX/XX/XXXX, XXXX XXXX XXXXXX/XX/XXXX, XX/XX/XXXX XXXX, XXXX XXXX XXXX XXXX XX/XX/XXXX, XXXX XXXX XXXX XXXX XX/XX/XXXX, XXXX XXXX XXXX XX/XX/XXXX, XXXX XXXX XXXX XXXX XX/XX/XXXX, XXXX XXXX XXXXXXXX XX/XX/XXXX, XXXX XXXX XXXX XX/XX/XXXX, XXXX XXXX XXXX XX/XX/XXXX, XXXX XXXXXX/XX/XXXX, XXXX XXXXXX/XX/XXXX, XXXX XXXX XXXX XX/XX/XXXX, XXXX XXXX XXXXXX/XX/XXXX, XXXX XXXX XXXX XX/XX/XXXX, XXXX XXXX XXXX XXXX of XX/XX/XXXX, XXXX XXXX XXXXXX/XX/XXXX XXXX XXXXXX/XX/XXXX, XXXX XXXX XXXXXX/XX/XXXX, XXXX XXXX XXXX XX/XX/XXXX, XXXX XXXX XXXXXX/XX/XXXX, XXXX XXXX XXXX XX/XX/XXXX, XXXX XXXX XXXX XXXX XX/XX/XXXX, XXXX XXXXXX/XX/XXXX, XXXX XXXX XXXX XX/XX/XXXX. Please delete this inquires immediately from my credit report.","Credit reporting, credit repair services, or other personal consumer reports"
354491,"XXXX XXXX XXXX XXXX VA XXXXI never applied for a loan Mod on this loan It has been lien stripped via bankruptcy someone did not get the memo I called and verified you got the bankruptcy paper work but someone keeps sending letters. 

Every time I call to update the account they keep asking me to modify a loan ... I tell them it does not exist and to update the files and they hang up on me. 

Please update your files and delete all trade lines for me they have all been discharged via bankruptcy. 

PLEASE READ THE BANKRUPTCY DOCS FULLY!!!!!!! 

SS # XXXXDOB XX/XX/XXXX",Mortgage
443957,"I bought XXXX XXXX gift cards issued by U.S. Bank at XXXX on XXXX/XXXX/2016. When i attempted to use them, i got error "" not authorized ''. When I called number listed on cards for customer service XXXX i discovered that cards were registered with someone else name. That means they were stolen from me. 
I was advised to fax supporting documentation ( cards front and back, receipt etc. ) to Stolen Replacement Card Request at fax number XXXX. I tried multiple times to fax documents to that number. The fax never picked up and i was not able to fax my documents. I called customer service 3 more times. I asked for a different number, email address or physical mailing address. I was told that 1. there is no mailing address, 2. there is no email address and 3. XXXX fax number is the only way to send information to card services. I am not able to send that information because the fax number that they gave me is not working.",Prepaid card
217314,"Separate from my claim yesterday, I now alleged criminal behavior on the part of XXXX XXXX presented an XXXX Divorce Document to the Branch Manger of Citizens Bank in XXXX, XXXX-XXXX. XXXX XXXX on XX/XX/XXXX at XXXX and requested past Bank Statements for the period between XX/XX/XXXX-XX/XX/XXXX. She promptly pulled up the account on her computer screen and even pointed out the initial deposit on XX/XX/XXXX. Reported to me that it was open in credit status only because there were notes for pending research on fees that were supposed to be reversed over 5 years ago. She then, despite my verbal opposition and the court order in front of her, insisted that she had to close the account because I was getting divorced and should not have a joint account with my spouse and that we were no longer eligible for any applicable credits. She then assured me I would have the requested statements within 2 weeks ( records over 7 years old require the processing of a research fee-despite my physically viewing the XX/XX/XXXX Statement on XXXX XXXX 's Screen ). She then informed me that it would cost about {$180.00} in fees and that I would have to come into the branch and pay that when I pick of the Statements, implied to be just after XX/XX/XXXX. I believe this arrangement constitutes a formal contract for the reproduction of the XX/XX/XXXX-XX/XX/XXXX Statements that she showed me on her screen. 

Today XX/XX/XXXX, after filing reports with various stake holder groups last evening ( including you ) as well as citizens bank corporate offices, I met with XXXX XXXX XXXX XXXX manager XXXX XXXX ( actually located at the XXXX XXXX branch ) and was informed that the account records had been purged in "" XX/XX/XXXX '' after the account had been closed by XXXX XXXX, which is would have been in strict opposition to the court docs presented to XXXX XXXX and a follow-up email on the evening of XX/XX/XXXX/XX/XX/XXXX to XXXX XXXX ( attached ) reiterating this as well as pointing out the issue of why the account was open for credits only ( refund of fees ) as XX/XX/XXXX. 

After, in casually speaking with a Law Firm not XXXX blocks from the XXXX XXXX XXXX, I can confidently say that I believe XXXX XXXX committed a criminal act, fraud actually, as a refund of $ 2,800+ in fee 's described in the attached email to her on XX/XX/XXXX would effect XXXX XXXX XXXX Profits for that branch and therefore impact her performance bonus as branch manager. 

I would also like to reiterate that XXXX XXXX 's XXXX XXXX XXXX XXXX was extraordinarily helpful and I believe sincerely tried to reverse the deletion and obtain the records for me going back 7 years. She also stated that if I get a direct Subpoena from Indiana to her she could forward it to legal, who has access to all of my account records since inception at a XXXX XXXX XXXX XXXX as well as many others, but they would only comply with the Federal mandate of 7 years old ( which I have ), it is the XXXX year which is essential as it shows my direct contribution to my wife 's education over that year ( XX/XX/XXXX-XX/XX/XXXX ) which is relevant under XXXX Divorce Law. 

Transparency and customer access to records physically shown to me in person XXXX month ago ( XXXX literally pointed out the opening deposit on XX/XX/XXXX ) is not asking anything out of line when complying with a court order. I also believe I should have access to the exact information that she purged after my email, as I should have access to whatever personal financial information so material in XXXX XXXX 's interests that she knowingly and deliberately permanently deleted the record of it.",Bank account or service
929653,"The following company requested a credit score from Transunion : XXXX XXXX, TX XXXX ( XXXX ) XXXX I my most current check of my credit score, XXXX XXXX, XXXX, I noticed a hard credit score check on my Transunion XXXX XXXX profile. I did not authorize a credit score check by "" XXXX '' nor do I have any information about this company. How do I request that they provide a reason as to why they obtain my credit score information from Transunion? 

Thank you, XXXX XXXX ( XXXX XXXX XXXX Cell","Credit reporting, credit repair services, or other personal consumer reports"
932987,They have closed the stores and I asked them to close my revolving account.,Credit card or prepaid card
962904,National Credit Adjusters Have called 3 times now since I had a credit app ran for a new place to live. This is the only way they have gotten my work number since I have n't applied for anything using that work number. They were told each time that it was a place of business not my personal phone number and if they needed to inform me of anything to send it in writing to my address ( since they got my work number they should also have that ).,Debt collection
981854,"This complaint is centered around the practice of forcing me ( student loan borrowe ) into forbearance for a longer time period than necessary when I was recertifying my income for income based repayment programs. 

In XXXX XXXX, my payment due skyrocketed from the normal {$670.00} REPAYE payment, to a standard payment of principal and interest of over {$3300.00}. I was told that I failed to recertify my REPAYE. I believed that was false, as I contend that I had already recertified and in fact my payment under the REPAYE program increased in XXXX XXXX after I recertified in XXXX XXXX. XXXX denied any knowledge/record of a recertification in XXXX and said that I must recertify ( again ). Having no other option, I began the process. As is the standard practice during the period of recertification, I understood that my loans would briefly go into forbearance. However, I asked, and it was notated on my account, that the forbearance be for the shortest possible time period. I asked that as soon as my recertification was approved, my REPAYE resume. 

I submitted recertification, on XXXX XXXX, XXXX, I received an email that XXXX received my submission for the recertification of my plan. On XXXX XXXX, XXXX, I received an email from XXXX notifying me that my REPAYE recertification was approved. 

I expected to be taken out of forbearance in XXXX. In fact, I have a letter dated XXXX XXXX indicating my forbearance began XXXX/XXXX/XXXX and ended XXXX/XXXX/XXXX. However, I received a letter on XXXX XXXX, XXXX saying that my first REPAYE payment was due on XXXX/XXXX/XXXX, meaning I was going to remain in forbearance for the entire month of XXXX XXXX. 

I called to discuss that with a representative because I saw no reason and had no desire to remain in forbearance for the month of XXXX. My recertification was approved and I should have begun paying the REPAYE amount in XXXX not XXXX. The representative tried to help me but was told by a supervisor that it is XXXX XXXX  policy to keep a borrower in forbearance up to 60 days when recertifying. I argued that my recertification was approved and this tactic was improper. No help was offered. The result, of course, was that capitalized interest was added to my account for both XXXX and XXXX XXXX. My argument is that adding capitalized interest for the month of XXXX while forcing me to remain in forbearance was an abusive tactic and a way for XXXX to churn fees and deceive borrowers. The total interest added to my loans for the forbearance period of XXXX and XXXX is not insignificant - it amounted to {$6400.00}. In two months time, by no fault of my own, my loan balance increased by {$6400.00}. It 's unfathomable. 

Later, on XXXX XXXX, XXXX, an additional {$2700.00} was added to my account as capitalized interest from being in forbearance. I do n't know what that interest amount stems from and have not received an answer. 

Please help stop this practice.",Debt collection
903026,"XXXX XXXX XXXX is charging me fees even though my account is not in the negative. 
On theXX/XX/XXXXthey posted a fee of {$35.00} on my account, which has affected my subsequence transaction to cost my account to be in negative and the further charge me 2 more insufficient fee for {$35.00} each. 
I had money come into my account todayXX/XX/XXXXXXXX ; veiwing my account this afternoon I see another charge off extended overdraft fee for another {$35.00}.",Checking or savings account
281163,"Hello I am a   XXXX   XXXX   XXXX   wife and mother. On  XXXX  I took out a loan for {$600.00}. Then another on  XXXX  for an additional {$700.00}. I paid on my loan monthly while I was working at  XXXX . When I lost my job in  XXXX  of   XXXX   I fell behind on my payments, I paid when I could. Later I found out none of my payments were going to principal. They were only being applied to interest. When I originally found out about the  Title Loan  company it was from a commercial. The commercial did not say if the loan is not paid off in 30 days that your repayment amount basically doubles and triples over time.","Payday loan, title loan, or personal loan"
221030,"I noticed XXXX debit entries with the names XXXX AND XXXX for {$19.00} each, which I did not request on my XXXX XXXX statement. I contacted Chase 's customer service to report it. The associate I talked with indicated that he will look into it. But when I checked my XXXX XXXX statement, I found that the XXXX entries were again on the XXXX statement. Hence, I decided to check previous months only to discover that the XXXX entries started as far back as XXXX XXXX. Because of this discovery, I decided to check my XXXX statements only to find that I was being charged between {$25.00} to {$35.00} every month, even when I was paying the monthly due amounts on the XXXX of every month.",Credit card
347556,"On XXXX XXXX XXXX, XXXX bank, opened a claim on my credit report for {$880.00}. 4 years later they closed it and Portfolio recovery bought the account and opened a new claim on my credit report on XXXX XXXX, XXXX for the very same amount {$880.00}. It has been more than 7 years since the initial debt was defaulted. I called portfolio recovery to discuss this situation and i was place on an extensive hold multiple time after i have stated the facts which are : - Same amount was claimed twice on my credit report by XXXX Bank first in XXXX which closed it out in XXXX then portfolio recovery in XXXX. 
- Original debt was defaulted back in XXXX why opening a new claimed in XXXX as if it is a new debt?",Debt collection
